"year","CO2","CH4","N2O","SF6"
1980,1.71,NA,NA,NA
1981,1.16,NA,NA,NA
1982,0.98,NA,NA,NA
1983,1.85,NA,NA,NA
1984,1.22,12.76,NA,NA
1985,1.65,12.33,NA,NA
1986,1.01,12.9,NA,NA
1987,2.65,11.4,NA,NA
1988,2.17,10.79,NA,NA
1989,1.48,11.08,NA,NA
1990,1.2,8.71,NA,NA
1991,0.74,14.05,NA,NA
1992,0.71,2.4,NA,NA
1993,1.24,3.82,NA,NA
1994,1.66,7.21,NA,NA
1995,1.99,3.95,NA,NA
1996,1.06,2.5,NA,NA
1997,1.98,6.27,NA,NA
1998,2.84,12.14,NA,0.2
1999,1.34,2.41,NA,0.17
2000,1.24,-1.48,NA,0.2
2001,1.84,-0.73,0.71,0.19
2002,2.38,3.24,0.5,0.22
2003,2.3,4.79,0.81,0.25
2004,1.55,-4.86,0.53,0.21
2005,2.46,0.37,0.87,0.23
2006,1.78,1.91,0.69,0.25
2007,2.12,7.81,0.9,0.28
2008,1.77,6.57,0.92,0.29
2009,1.58,4.66,0.76,0.29
2010,2.41,5.2,1.08,0.27
2011,1.69,4.86,0.9,0.28
2012,2.41,5.01,0.81,0.31
2013,2.43,5.71,1.01,0.32
2014,2.05,12.77,1.24,0.34
2015,2.94,10.02,0.9,0.32
2016,2.83,7.1,0.66,0.34
2017,2.14,6.83,1.02,0.35
2018,2.4,8.74,1.16,0.35
2019,2.54,9.68,0.91,0.33
2020,2.37,15.78,1.37,0.34
